movie_title,mood,weather,day,year,genre,description
How to Train Your Dragon,Romantic,Sunny,Weekend,2010,Hollywood,A young Viking befriends a dragon, challenging his village’s traditions.
The Matrix,Happy,Snowy,Weekend,1999,Hollywood,A hacker discovers a simulated reality and joins a rebellion to free humanity.
Joker,Romantic,Rainy,Weekday,2019,Hollywood,A struggling comedian descends into madness, becoming a chaotic symbol of rebellion.
Dangal,Melancholic,Cloudy,Weekend,2016,Bollywood,A former wrestler trains his daughters to become world-class wrestling champions.
The Curious Case of Benjamin Button,Adventurous,Sunny,Weekend,2008,Hollywood,A man ages backward, experiencing love and life in reverse.
Inception,Happy,Rainy,Weekday,2010,Hollywood,A thief infiltrates dreams to steal secrets, facing a mind-bending heist.
MS Dhoni,Excited,Rainy,Weekend,2016,Bollywood,A small-town cricketer rises to become India’s legendary cricket captain.
The Lunchbox,Romantic,Cloudy,Weekend,2013,Bollywood,A mistaken lunch delivery sparks an unexpected connection between two strangers.
La La Land,Relaxed,Cloudy,Weekend,2016,Hollywood,An aspiring actress and a jazz musician chase dreams and love in Los Angeles.
Spirited Away,Relaxed,Sunny,Weekend,2001,Hollywood,A young girl navigates a magical world to save her parents from a curse.
The Menu,Melancholic,Cloudy,Weekend,2022,Hollywood,A couple attends an exclusive dining experience that turns darkly surreal.
The Matrix,Happy,Cloudy,Weekend,1999,Hollywood,A hacker discovers a simulated reality and joins a rebellion to free humanity.
Love Aaj Kal,Excited,Snowy,Weekend,2009,Bollywood,Modern and past love stories intertwine, exploring the complexities of romance.
The Whale,Excited,Rainy,Weekday,2022,Hollywood,A reclusive teacher reconnects with his daughter while facing personal struggles.
Dear Zindagi,Excited,Snowy,Weekend,2016,Bollywood,A young cinematographer learns to embrace life through therapy and personal connections.
Iron Man,Melancholic,Cloudy,Weekday,2008,Hollywood,A billionaire genius builds a high-tech suit to fight evil and redeem his past.
Drishyam,Adventurous,Cloudy,Weekday,2015,Bollywood,A man goes to extreme lengths to protect his family after an accidental crime.
The Dark Knight,Melancholic,Sunny,Weekday,2008,Hollywood,A vigilante hero faces a chaotic criminal mastermind threatening Gotham.
Forrest Gump,Romantic,Rainy,Weekday,1994,Hollywood,A man with a pure heart experiences decades of American history through love and chance.
Student of the Year,Adventurous,Sunny,Weekend,2012,Bollywood,College rivals compete in a series of challenges, sparking friendships and romance.
The Curious Case of Benjamin Button,Melancholic,Rainy,Weekend,2008,Hollywood,A man ages backward, experiencing love and life in reverse.
Kuch Kuch Hota Hai,Melancholic,Cloudy,Weekend,1998,Bollywood,A widowers daughter schemes to reunite him with his college sweetheart.
RRR,Romantic,Rainy,Weekend,2022,Bollywood,Two Indian revolutionaries forge a bond to fight British colonial rule.
A Beautiful Mind,Happy,Sunny,Weekend,2001,Hollywood,A brilliant mathematician battles schizophrenia while making groundbreaking contributions to game theory.
Ek Tha Tiger,Adventurous,Sunny,Weekend,2012,Bollywood,An Indian spy falls in love while on a high-stakes mission against a rival agent.
Avengers: Endgame,Happy,Snowy,Weekend,2019,Hollywood,Superheroes unite to reverse a cosmic catastrophe and restore balance to the universe.
Love Aaj Kal,Romantic,Sunny,Weekday,2009,Bollywood,Modern and past love stories intertwine, exploring the complexities of romance.
Secret Superstar,Relaxed,Rainy,Weekend,2017,Bollywood,A teenage girl pursues her singing dreams under the constraints of a conservative family.
Dear Zindagi,Adventurous,Rainy,Weekday,2016,Bollywood,A young cinematographer learns to embrace life through therapy and personal connections.
The Matrix,Happy,Sunny,Weekend,1999,Hollywood,A hacker discovers a simulated reality and joins a rebellion to free humanity.
Frozen,Romantic,Rainy,Weekend,2013,Hollywood,A fearless princess embarks on a quest to save her kingdom from eternal winter.
